<Node object at 0x2ad87001f4d0: '0.000' (None)>,171
<Node object at 0x2ad872f01550: '0.925' (None)>,6
<Node object at 0x2ad83f351b90: '0.000' (None)>,1
<Node object at 0x2ad840c32590: '0.362' (None)>,2
<Node object at 0x2ad8754e35d0: '0.851' (None)>,2
<Node object at 0x2ad873a276d0: '0.882' (None)>,2
<Node object at 0x2ad892ad8710: '0.000' (None)>,4
<Node object at 0x2ad83dfe17d0: '0.552' (None)>,6
<Node object at 0x2ad878c89750: '0.261' (None)>,1
<Node object at 0x2ad874af7e90: '0.000' (None)>,4
<Node object at 0x2ad83851a190: '0.561' (None)>,1
<Node object at 0x2ad8750eb7d0: '0.788' (None)>,5
<Node object at 0x2ad87204dc90: '0.873' (None)>,2
<Node object at 0x2ad87462f8d0: '0.885' (None)>,3
<Node object at 0x2ad85a342990: '0.865' (None)>,1
<Node object at 0x2ad83aa6a450: '0.000' (None)>,155
<Node object at 0x2ad83e0b7450: '0.383' (None)>,1
<Node object at 0x2ad878824a10: '0.853' (None)>,1
<Node object at 0x2ad83e755a50: '0.799' (None)>,136
<Node object at 0x2ad87b606a90: '0.813' (None)>,1
<Node object at 0x2ad86d1a67d0: '0.000' (None)>,457
<Node object at 0x2ad83f237ad0: '0.497' (None)>,1
<Node object at 0x2ad83cb19b50: '0.861' (None)>,153
<Node object at 0x2ad83f37bbd0: '0.727' (None)>,1
<Node object at 0x2ad87027d550: '0.805' (None)>,2
<Node object at 0x2ad87643fcd0: '0.802' (None)>,3
<Node object at 0x2ad86f7f0050: '0.899' (None)>,405
<Node object at 0x2ad83e9c7ed0: '0.888' (None)>,127
<Node object at 0x2ad84468bfd0: '0.860' (None)>,2
<Node object at 0x2ad8713b2d90: '0.917' (None)>,2
<Node object at 0x2ad840f6e050: '0.756' (None)>,4
<Node object at 0x2ad83f463190: '0.000' (None)>,1
<Node object at 0x2ad8726941d0: '0.386' (None)>,1
<Node object at 0x2ad84114e510: '0.913' (None)>,1
